crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,max_injr_svrty_cl,numb_vehc,numb_fatal_injr,numb_nonfatal_injr,weath_cond_descr,speed_limit,lat,lon,dist_dirc_exit,vehc_unit_numb,driver_age,max_injr_svrty_vl,total_occpt_in_vehc,pers_numb,age,injy_stat_descr
"4486060","BOSTON","01/11/2018","Non-fatal injury","Closed","10:00 AM","Non-fatal injury - Non-incapacitating","2","0","1","Cloudy","45","42.35812039","-71.05138669","","1","26","No injury","1","1","26","No injury"
"4486060","BOSTON","01/11/2018","Non-fatal injury","Closed","10:00 AM","Non-fatal injury - Non-incapacitating","2","0","1","Cloudy","45","42.35812039","-71.05138669","","2","27","Non-fatal injury - Non-incapacitating","1","2","27","Non-fatal injury - Non-incapacitating"
"4487531","BOSTON","01/12/2018","Fatal injury","Closed","4:00 PM","Fatal injury (K)","1","1","0","Clear","25","42.34811883","-71.08814100","","1","34","No injury","1","1","34","No injury"
"4487531","BOSTON","01/12/2018","Fatal injury","Closed","4:00 PM","Fatal injury (K)","1","1","0","Clear","25","42.34811883","-71.08814100","","","","","","2","","Fatal injury (K)"
"4492673","BOSTON","01/04/2018","Property damage only (none injured)","Closed","2:10 PM","No injury","1","0","0","Snow","35","42.33177894","-71.11292674","","1","29","No injury","1","1","29","No injury"
"4492855","BOSTON","01/29/2018","Non-fatal injury","Closed","1:30 AM","Non-fatal injury - Possible","2","0","1","Clear","40","42.35188220","-71.11150204","","1","22","Non-fatal injury - Possible","1","1","22","Non-fatal injury - Possible"
"4492855","BOSTON","01/29/2018","Non-fatal injury","Closed","1:30 AM","Non-fatal injury - Possible","2","0","1","Clear","40","42.35188220","-71.11150204","","2","33","Not reported","","2","33","Not reported"
"4494406","BOSTON","01/26/2018","Non-fatal injury","Closed","9:02 AM","Non-fatal injury - Possible","1","0","1","Not Reported","","42.34729958","-71.08775770","","1","53","Not reported","10","1","53","Not reported"
"4494406","BOSTON","01/26/2018","Non-fatal injury","Closed","9:02 AM","Non-fatal injury - Possible","1","0","1","Not Reported","","42.34729958","-71.08775770","","","","","","2","57","Non-fatal injury - Possible"
"4494407","BOSTON","01/02/2018","Non-fatal injury","Closed","3:00 PM","Non-fatal injury - Possible","1","0","1","Clear","","42.35672677","-71.06027505","","1","27","No injury","1","1","27","No injury"
"4494407","BOSTON","01/02/2018","Non-fatal injury","Closed","3:00 PM","Non-fatal injury - Possible","1","0","1","Clear","","42.35672677","-71.06027505","","","","","","2","64","Non-fatal injury - Possible"
"4494409","BOSTON","01/11/2018","Non-fatal injury","Closed","5:09 PM","Non-fatal injury - Non-incapacitating","2","0","1","Clear","","42.36025045","-71.05728978","","1","50","Not reported","1","1","50","Not reported"
"4494409","BOSTON","01/11/2018","Non-fatal injury","Closed","5:09 PM","Non-fatal injury - Non-incapacitating","2","0","1","Clear","","42.36025045","-71.05728978","","2","24","Non-fatal injury - Non-incapacitating","1","2","24","Non-fatal injury - Non-incapacitating"
